created_at,id_str,full_text,favorite_count,retweet_count,user_id_str,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,hashtags,mentions
Wed Jul 01 18:45:48 +0000 2020,1278399420585971718,RT @brett_mcgurk: New WH explanation is absurd and alarming. PDB briefer didn’t READ the report on bounties to Trump. So he wasn’t “briefed…,0,12287,1175382336210395136,Troubled,1TroubledTexan,"Houston, Texas",,244,17,,brett_mcgurk
Wed Jul 01 18:45:52 +0000 2020,1278399440806711296,RT @prclondon: More than 100 U.S. organizations urged presumptive Democratic nominee Joe Biden (and Donald Trump) to adopt a principled for…,0,10,1247654400203591680,Socialists For Palestine 🇵🇸,for_socialists,,"We are socialists for #Palestine 🇵🇸 
#SocialistAnyDay",1777,959,,prclondon
Wed Jul 01 18:46:27 +0000 2020,1278399586462248961,RT @scotty_kiker: I Believe it will be an even bigger landslide! Yes! Trump 2020! https://t.co/uwiufGxoHg,0,32,758519810841976832,PhoenixRising,Winsngrins,5th Dimension,"#SweepstakesAddict  #GreatAwakening #ILovemyPotus!
I follow back! #80sKid 
#savethechildren #ProudDeplorable #ReikiMaster/Lightworker",4329,2012,,scotty_kiker
Wed Jul 01 18:46:37 +0000 2020,1278399630099824642,"Britain insists it has enough remdesivir after Donald Trump buys up global supplies of coronavirus drug

The US has sparked anger by buying nearly all the stock for the next three months - but Britain insists it has secured supplies of the anti-viral pill https://t.co/rI1unXjA06",1,0,1833919200,Socialist Voice,SocialistVoice,United Kingdom 🇬🇧,Democratic Socialist 🌹| Social Justice & Disability Rights ♿️ | Environmentalist 🌍 | Brexit 🇬🇧 | LGBTQI+ 🏳️‍🌈 | #FreePalestine 🇵🇸 | #BlackLivesMatter,55504,75035,,
Wed Jul 01 18:46:51 +0000 2020,1278399687805075457,RT @peteginsd: @marcorubio Brilliant. Now get @realDonaldTrump to say it because your constituents are dying. #TrumpDeathToll128K #COVID19…,0,70,345409879,Kirby Allen,kirbyallen00,"Dallas, TX","Proud DEMOCRAT, veteran, nurse, ethical leader. #resist #theresistance #voteDEM #FlipTheSenate #FlipTheHouse #racistGOP",4970,1075,COVID19|TrumpDeathToll128K,marcorubio|peteginsd|realDonaldTrump
Wed Jul 01 18:47:05 +0000 2020,1278399746558889991,@realDonaldTrump @CNN @FoxNews Fox news is not a respectable newsnetwork but a populist and racist propagandanetwork... tailor made for Trumpists...🥴,0,0,1072119317217587200,EuroPMedia,EuroP_Media,"Brussel, België","Former TV Producer Former Prod. Manager (for an American TV-Production Cie ) interested in politics and US politics, loves USA but do NOT support Donald Trump.",60,11,,CNN|FoxNews|realDonaldTrump
Wed Jul 01 18:47:14 +0000 2020,1278399785003896832,"Trump sobre el artículo de NYT sobre Rusia y los talibanes: ""Es solo otra historia inventada por las noticias falsas para dañarme"" - RT https://t.co/7hmuJc11QY",0,0,1352915461,Diógenes Hernández,diogenesherdez1,,Hombre soy y nada humano me es ajeno. Perdonar al criminal es no respetar a su victima,19736,21658,,
Wed Jul 01 20:46:24 +0000 2020,1278429772012544000,@TheDemocrats @IowaGOP @KansasGOP @NEGOP @mngop @MissouriGOP @officialOKGOP @TexasGOP @sdgop @NDGOP @indgop @INDems @ohiogop @GaRepublicans @FloridaGOP @CAGOP #SoMuchWinning from this #SleazebagTrump @realDonaldTrump @POTUS @WhiteHouse @VP #WayToGo with +129000 #TrumpVirus -related deaths,0,1,3596629874,Ålexander C K Taøng🍑😷🏳️‍🌈🇺🇸🇭🇰,AlexanderCKTang,,#livelongandprosper #LLAP Larga vida y prosperidad,1818,53,SleazebagTrump|SoMuchWinning|TrumpVirus|WayToGo,CAGOP|FloridaGOP|GaRepublicans|INDems|IowaGOP|KansasGOP|MissouriGOP|NDGOP|NEGOP|POTUS|TexasGOP|TheDemocrats|VP|WhiteHouse|indgop|mngop|officialOKGOP|ohiogop|realDonaldTrump|sdgop
Wed Jul 01 20:46:55 +0000 2020,1278429904242163712,RT @GeorgeTakei: Trump needs to stop protecting dead Confederate soldiers and start protecting living American ones.,0,14044,830194436,NoOneIsAboveTheLaw,CareBud,"Tennessee, USA","RN, military spouse, mother of dragons - fire breathing cats and flying children.",905,578,,GeorgeTakei
Wed Jul 01 20:48:02 +0000 2020,1278430183024922628,"RT @jsolomonReports: USMCA, a major Trump policy win, quietly begins July 1 as virus, economy, unrest dominate headlines | Just The News ht…",0,858,342735452,sassy,sastuf,,,69,111,,jsolomonReports
Wed Jul 01 22:47:36 +0000 2020,1278460275579117570,RT @TheLeoTerrell: Thank you @realDonaldTrump for sharing @Chicago1Ray tweet of my interview with @marklevinshow. #blacklivesmatter does NO…,0,2169,40693519,Sassafras,stopglobalizati,United States,"Documentarian, Artist MyGift=ALoveStory. Passionately Support Middle-Class BuyAmerican #walkedaway in 2016 #Blexit #TrumpsterWarrior #SupportIsrael",3445,3250,blacklivesmatter,Chicago1Ray|TheLeoTerrell|marklevinshow|realDonaldTrump
Wed Jul 01 22:47:54 +0000 2020,1278460347091910657,@Stop_Trump20 Bloody Trump,0,0,111465330,Jennifer Arquette,jenlarquette,"South Bend, IN",Smiling's my favorite.,219,58,,Stop_Trump20
Wed Jul 01 22:48:10 +0000 2020,1278460416855887875,@parscale @realDonaldTrump https://t.co/NhSeEwRv5r,0,0,22738081,Zach Alan,zwash300,United States,Hoping the future is better than the present.,728,839,,parscale|realDonaldTrump
Wed Jul 01 22:48:28 +0000 2020,1278460492244070400,RT @funder: We will never be able to reopen-and stay open-while Trump’s in the White House.,0,2741,94219760,Alex Gonzales,xstr8edgex29,"Roseburg, OR",I’m 40 and need attention,2094,281,,funder
Wed Jul 01 22:48:57 +0000 2020,1278460612259876864,RT @MrMichaelBurkes: Last night i was retweeted by President Trump. Today i registered 20 new Republican voters. I'm on a roll! #VoteRed,0,12152,426182888,Dianne Rock,dianne_rock,,,85,99,VoteRed,MrMichaelBurkes
Wed Jul 01 22:49:02 +0000 2020,1278460633344860166,"RT @Jennagizer81: Who knew that tarriffs were a bad idea🙋 
?????
Who would've known it would end up costing Americans bigly🙋🤔
 ??????
If on…",0,177,124295360,Tom Frankowski,thomfra,21060,Alcohol is the anesthesia by which we endure the operation of life. GBS,273,107,,Jennagizer81
Wed Jul 01 22:49:08 +0000 2020,1278460657671774212,RT @CBS_Herridge: NOW: NSA Robert O’Brien tells reporters “career intel officer” made call not to verbally brief @realDonaldTrump on allege…,0,8482,381653798,Shady Ranger,ShadyRanger,,"Mind of an engineer and creative, trying to be better than I was yesterday, philosophy is interesting cause it’s human",129,36,,CBS_Herridge|realDonaldTrump
Wed Jul 01 22:49:13 +0000 2020,1278460679502983168,"RT @dash_bandy: @ryanstruyk so @ChuckGrassley wants the traitor to run a whole different con. 
Typical.  @GOP is entirely fake.
They don't…",0,14,102933803,Dada Lives!,DadaLives,On the couch....in California,"I'm a progressive, skeptical, agnostic atheist, Real American #Resistor 
 864511320
#DeleteFacebook
https://t.co/Ie6dCgGXLo",2796,1692,,ChuckGrassley|GOP|dash_bandy|ryanstruyk
Thu Jul 02 00:48:18 +0000 2020,1278490647435993088,"RT @realDonaldTrump: I will Veto the Defense Authorization Bill if the Elizabeth “Pocahontas” Warren (of all people!) Amendment, which will…",0,34776,750417422520377344,Sunshine for TRUMP,SunshineforTRU1,"Tennessee, USA",#AmericaWorksTogether,3263,2897,,realDonaldTrump
Thu Jul 02 00:48:26 +0000 2020,1278490682865352704,"RT @Mediaite: Dilbert Creator Says 'Republicans Will Be Hunted' if Biden Elected: 'Good Chance You Will be Dead Within the Year'

https://t…",0,16,31148491,asmithfilms 🎞️,asmithfilms,"Minneapolis, MN",Film Director/Producer. Part of #TheResistance. I will BLOCK all Trump supporters!  Impeachment Shirts FOR SALE!!!  Link: https://t.co/3fGYorrpNv,2298,3095,,Mediaite
Thu Jul 02 00:48:29 +0000 2020,1278490696043958278,RT @JillWineBanks: Don't let focus on covid and BLM distract from other threats to worldwide democracy lie trump's recent attempt to make V…,0,1006,776116159779266561,Linda Feinberg,feinberg_linda,,,262,454,,JillWineBanks
Thu Jul 02 00:48:44 +0000 2020,1278490755674210305,"RT @SidneyPowell1: #StandUpForAmerica 
#StandUp for equality for all.
#StandUp for Truth
#StandUp for Respect
#StandUp for Individual Right…",0,1554,801920366985744384,Lulu,Lululu613,,Every road leads to the source. Love and Forgiveness. We are one.,79,165,StandUp|StandUpForAmerica,SidneyPowell1
Thu Jul 02 00:48:45 +0000 2020,1278490762922033152,"“I think we’re going to be very good with the coronavirus. I think that at some point, that’s going to sort of just disappear, I hope,” Mr. Trump said in an interview on Wednesday with the Fox Business Network.  Seriously, I think its time for the 25th as this dude is done!",3,1,63943820,pat northey,pnorthey,"Deltona, Florida",,896,758,,
Thu Jul 02 00:49:05 +0000 2020,1278490846216814592,@StephBuffamonte Usually you have to see pics of a Trump rally to see that many morons in one place.,0,0,26178127,G Davis/gadlaw 🌊,gadlaw6,Gilbert,🌊 😎Trump is a traitor to the nation. VOTE!! Respect to all.  #Resistance #impeach45 🌊,6947,6328,,StephBuffamonte
Thu Jul 02 00:49:15 +0000 2020,1278490887891218432,"RT @kurteichenwald: ""If kneeling during the national anthem is disrespectful about the troops, what is ignoring intelligence that our troop…",0,844,814585603522252800,Judy Schultz,Tabbersman,,"Nurse, beach & marsh cleaner, animal lover, tree lover.",363,122,,kurteichenwald
Thu Jul 02 00:49:22 +0000 2020,1278490916685336577,@realDonaldTrump #bullshit,0,0,326150306,Chris Doyle,cdoyle222,Summerville SC,Home Brewer,1531,837,bullshit,realDonaldTrump
Thu Jul 02 00:49:33 +0000 2020,1278490962281594880,RT @TheLeoTerrell: Thank you #PresidentTrump for signing an executive order banning #H1Bvisas .  Hi-tech jobs should go to Americans instea…,0,8497,1022320336459784192,JoaniJMAGA⭐️⭐️⭐️,JoaniJMAGA,U S A,TRUMP 🇺🇸 SUPPORTER🇺🇸#MAGA#Trump2020 🇺🇸FB @GenFlynn 🇺🇸❤ @prayingmedic💙@RyanAFournier@Catturd2@RealEricCarmen💙@BarbaraRedgate https://t.co/rhQRMgTzH9,10441,10860,H1Bvisas|PresidentTrump,TheLeoTerrell
Thu Jul 02 00:49:37 +0000 2020,1278490980023492608,Hey! @netflix can you do a special where @BarackObama and @joebiden read the Pandemic Playbook they created and that @WhiteHouse continues to ignore?,1,0,245686330,Mike Higbee,mikehigbee,New York - Paris,"http://t.co/8FlYuxC4Jg
http://t.co/twd5SyP4Ja",1974,267,,BarackObama|JoeBiden|WhiteHouse|netflix
Thu Jul 02 00:49:44 +0000 2020,1278491007336747009,"RT @ThePubliusUSA: France, Germany, Canada, Great Britain: If you are listening, I hope you are able to find evidence that Donald Trump kne…",0,2309,511238285,Jovito de Ponce,jovitodeponce,,#resist #ImpeachTheRussianAgent We need decency and Constitutional order back to politics #statehood4🇵🇷now,1071,952,,ThePubliusUSA
Thu Jul 02 00:49:48 +0000 2020,1278491028199268357,"RT @dbongino: READ THIS 👇🏻🚨
Joe Biden and Democrats Are Set to Abolish the Suburbs  https://t.co/VKrqIagMjB",0,2538,398439150,laurie phillips,laurie48094,,,85,476,,dbongino
Thu Jul 02 00:49:55 +0000 2020,1278491055000653824,RT @NormEisen: BREAKING: Bipartisan Senate leadership rarely gets together on anything. But they have gotten together today to object to Tr…,0,6968,11724882,zannerina,zannerina,"California, USA",Essayist - Historian - Reader - Mother of three amazing human beings. #Resistance,3840,3103,,NormEisen
Thu Jul 02 00:50:15 +0000 2020,1278491137926475784,@EarlOfEnough @RojoRurba002 It surprises me any Catholic is supporting Trump. Pope is no fan of Trump.,3,1,199400192,Beach Bum,aorgat,Boston,"Mom, Industrial Engineer/Computer Science, civil rights and environmental activist, love nature, all animals, proud liberal, RESIST☮️",7077,6987,,EarlOfEnough|RojoRurba002
Thu Jul 02 00:50:17 +0000 2020,1278491149649547265,@courtneymilan Just taking about this with my teenager who just finished Red White and Royal Blue.  She just can’t muster that enthusiasm for Biden.,2,0,17786218,Anna,1001questions,"Roslindale, MA","Librarian, mom, public school parent, avid eater and reader. My house would be cleaner if I read less.  Too many opinions, but they’re all mine. #Boston #Books",256,152,,courtneymilan
Thu Jul 02 02:49:45 +0000 2020,1278521212902060034,RT @funder: I wonder how much Trump gets from Putin for killing this many Americans.,0,3752,979588132990435328,Loni ❤️🌎🌍🌏 Wear a Mask!,ChattanGypsy,"British Columbia, Canada","Climate Change, Sustainable World Activist",428,253,,funder
Thu Jul 02 02:49:49 +0000 2020,1278521228811067393,"RT @Mike_Pence: Today marks a HISTORIC day for our Nation! On January 29, 2020 President @realDonaldTrump signed the #USMCA into law and to…",0,3387,978114921018748929,Mason McCloud,MasonMcCloud19,"Utah, U.S.",“For the true test of a perfect man is the power of bearing with spirit and dignity violent changes of fortune.”  —Polybius,1394,1176,USMCA,Mike_Pence|realDonaldTrump
Thu Jul 02 02:50:33 +0000 2020,1278521413129736192,RT @ConservativeV74: @Aug_1405 @realDonaldTrump @ConservativeV74 https://t.co/qyhMtWhYJ6,0,1,780627970104844289,Rachel,RachelandWolf,,,2279,1864,,ConservativeV74
Thu Jul 02 02:51:05 +0000 2020,1278521546869440512,@WhiteHouse @realDonaldTrump Unless they are union workers,0,0,33706695,Dreama Vagnozzi,Dreama180,United States,,108,193,,WhiteHouse|realDonaldTrump
Thu Jul 02 02:51:09 +0000 2020,1278521566582603777,"RT @realDonaldTrump: ....horrible BLM chant, “Pigs In A Blanket, Fry ‘Em Like Bacon”. Maybe our GREAT Police, who have been neutralized and…",0,21926,967580715586957312,Watermermaid1,Watermermaid11,"Carlsbad, CA","Devoted to Jesus Christ my Savior, Wife, Mother, Nurturer, Conservative, God is my creator and Holy Father, I am all for MAGA! Qanon!,#TRUMP2020,#WWG1WGA",2421,1029,,realDonaldTrump
Thu Jul 02 04:48:39 +0000 2020,1278551133401886725,"RT @mmpadellan: Best news of the day: Joe Biden outraised trump in June...

""...from his basement.""",0,2976,2356683757,Joykenn24,joykenn24,,#resist #TrumpResign #impotus,1730,1739,,mmpadellan
Thu Jul 02 04:49:39 +0000 2020,1278551385563369473,RT @FrankSowa1: BREAKING - George W Bush campaign people &amp; The George W Bush SuperPAC have just announced they’re ending GOP operations as…,0,14920,199880600,Faye Brooks,TheDemocrat63,"Georgia, USA","We all are unique  as individuals,I want everyone to know,We vote to be Represented by men and women,who say,I will stand in the Gap for you,Represent us.",4327,1360,,FrankSowa1
Thu Jul 02 04:49:52 +0000 2020,1278551441603346432,RT @aubrey_huff: My boys @TommyG &amp; @GeneralDilley are asking for all our patriot friends to join the revolution. We must get @realDonaldTru…,0,3110,1269737604691324928,AmberSunshine🎃,AmberSunshine88,,,251,38,,GeneralDilley|TommyG|aubrey_huff
Thu Jul 02 04:50:25 +0000 2020,1278551577452638208,RT @JoeBiden: I’ll read my daily briefings.,0,48161,2378044125,cesarFlores,cesar_Flores83,,,173,23,,JoeBiden
Thu Jul 02 04:51:07 +0000 2020,1278551754313998336,"RT @WhiteHouse: Today, we're celebrating a new chapter in trade.

Under President Trump, the forgotten men and women of America are forgott…",0,2062,827352941875040258,❌Linda❌,LinSuWill,"Texas, USA",LOVE&support my 3 #Army boys #Prolife #Jesus #Trump from day one 🚫🏈😡 #LOVE #BuildKate/Mollie’sWall #NRA #2A #BacktheBlue #Redwave #MAGA #KAG!#WalkAway🙏🏼,21260,20049,,WhiteHouse
Thu Jul 02 04:52:08 +0000 2020,1278552010510331904,"RT @DaniForCongress: 👋I’m the Democrat running against @RepKinzinger - Trump's biggest fan in #IL16.
 
We need all hands on deck to finish…",0,24,2655912266,Kimmyann,kimmyann1111,WA,"RIDE OR DIE BLAZER FAN ❤️🖤 CANCER SURVIVOR #Resist #BlackLivesMatter #Justice4Julius
Followed by @RoArquette @trailblazers @brookeolzendam",8561,8025,IL16,DaniForCongress|RepKinzinger
Thu Jul 02 04:52:12 +0000 2020,1278552029456023554,"RT @SethAbramson: I'm telling you, based on the data and the case studies reopening the nation's colleges this fall could be Trump's super-…",0,410,2363139000,Daniel C. Oppelt,CoachOppelt,"Washington, USA","Proud educator of amazing DACA kids. Knight por vida. OL Coach @RHSFB_Champs_X9, Head Golf Coach Wahluke HS.✡️",162,177,,SethAbramson
Thu Jul 02 06:46:25 +0000 2020,1278580773621096449,"RT @Shem_Infinite: If the left really thought they were winning, the New York Times wouldn't have to make up fake Trump/Russia stories agai…",0,1536,991236184310300672,🇺🇲Colleen❌🇺🇲,ColleenV89,United States,"US Army veteran❌
voted #MAGA then 
campaigning #KAG❌ now ❌
Trump 2020❌
Happily married 
NOT LOOKING FOR HOOKUPS!!!",14607,13330,,Shem_Infinite
Thu Jul 02 06:47:01 +0000 2020,1278580923764813825,RT @kurtbardella: Every @JoeBiden donor should be cutting a check to @ProjectLincoln so they can air this spot in every single swing-state…,0,2825,834895446485061634,Lana,LanaSaulesha,"Jacksonville,Fl",,175,119,,JoeBiden|ProjectLincoln|kurtbardella
Thu Jul 02 06:47:18 +0000 2020,1278580995399323652,RT @DonaldJTrumpJr: Why were there no questions yesterday asking Joe Biden why he has yet to condemn the roving mobs that continue to terro…,0,10325,771138240757768193,Pam 🔥🇺🇸Trump Nation🚂~America 1ST 🇺🇸🔥❤️,scoundral_days,United States In God We Trust,🇺🇸Military Brat~🔥FB: @atensnut @RealDrGina @RyanAFournier @Catturd2 @charliekirk11 @JessieJaneDuff @Solmemes1 @RockPrincess818 @ScottPresler ❤️Animals #MAGA,10872,11102,,DonaldJTrumpJr
Thu Jul 02 06:48:57 +0000 2020,1278581409985130496,"RT @chipfranklin: @ProjectLincoln Trump is campaigning for reelection with a Nazi symbol. Again.

On the left: an official Trump/Pence “Ame…",0,2082,1050582156689330177,"Christina - don’t run from the TRUTH, run to IT!",Christi92965066,Earth,"Everyone deserves to THRIVE, not just survive! #Remove all of PUTINS PUPPET’S! COVID19 is rampant, wear a mask and live to vote!",3389,845,,ProjectLincoln|chipfranklin
Thu Jul 02 06:52:58 +0000 2020,1278582419033960448,"RT @komedychik: @IndySpanglish @JoeBiden You keep posting this. No, this mask won't protect the wearer from COVID-19. It will prevent the W…",0,13,786617040861659137,Ken “Dystopia Is Now” Bone,KenBone2017,"Georgia, USA",The Horror... The Horror... Enduring each dark day under the dystopian #Trump regime and the morally corrupt #GOP. (#Horror/#SciFi/#Comedy movies help me cope),4078,1305,,IndySpanglish|JoeBiden|komedychik
Thu Jul 02 08:44:37 +0000 2020,1278610517725044738,"RT @yashar: The Coronavirus Spread In A Dallas Megachurch’s Choir &amp; Orchestra. Then It Hosted Mike Pence.

A group of choir &amp; orchestra mem…",0,535,29967129,Crystal English,CnBsNana,"Pismo Beach, CA",Here Right Matters,6786,6190,,yashar
Thu Jul 02 08:45:07 +0000 2020,1278610644736991232,"RT @MSNBC: .@NicolleDWallace: ""Do we really have a president, who on his fourth year as the country's commander-in-chief, doesn't understan…",0,744,826283663658737666,NotComey,notComey,"Florida, USA","America, the moral torchbearer and defender of human rights, of fairness and justice, of what is good and decent in the World, reduce to Potus45",4390,3925,,MSNBC|NicolleDWallace
Thu Jul 02 08:46:09 +0000 2020,1278610905593450496,Le différend sur les paiements russes allégués pour tuer des soldats américains jette une lumière crue sur la consommation de renseignements par Trump. https://t.co/uQHUR0RRA0 https://t.co/fpOTEi1DUM,0,0,66474477,Terry Zimmer,terryzim,,"Responsable IE @rempart_int /Enseignant @IAEPoitiers @ileri_edu /Auteur Le Renseignement Humain à l'Ère Numérique /DU Sécu Intérieure
#HUMINT #OSINT #SOCMINT",525,2482,,
Thu Jul 02 08:48:58 +0000 2020,1278611610806992897,"RT @SethAbramson: BREAKING (WASHINGTON POST): A new Trump COVID-19 scandal has broken. Just before the Tulsa event, Trump staffers started…",0,7388,185962238,jaszy la,jaszy13,,,1076,171,,SethAbramson
Thu Jul 02 08:49:08 +0000 2020,1278611653144334337,@the_resistor @realDonaldTrump @NYCMayor Americans will never come to that city any more!!!,1,0,1271601043986616321,AnnaKarenina,AnnaKar77644155,,"Never blind, always just.",123,16,,NYCMayor|realDonaldTrump|the_resistor
Thu Jul 02 08:50:03 +0000 2020,1278611885865291776,"RT @vegix: There’s no longer any doubt: Trump is a white supremacist

We can’t pretend to be shocked, and at this point Trump voters have t…",0,185,1266820594731044864,Essence,essence_kat,,Sociologist📊📁Social Worker📈🚶🏼‍♀️                      Advocate for Children at Risk 👩🏽‍🤝‍👩🏾                      * A Closed Mouth👄 Don’t Get Heard*,1366,251,,vegix
Thu Jul 02 08:50:21 +0000 2020,1278611961672941568,@bloomhamid @Only4AJ @giannadolor Yeah I am not mad you're mad. I have a number of black friends who actually support Trump. He increased funding for black colleges more than any president and he redid prison reform so more blacks go free. CNN doesn;t report that,0,0,1250401017008517121,Toiletpaper2020,Toiletpaper2021,On my way to shelf near you,"Proud supporter of President Trump, US Military & ALL first responders. #Trump2020 #MAGA #FourMoreYears #ArmyForTrump (Parler: toiletpaper2020)",475,483,,Only4AJ|bloomhamid|giannadolor
Thu Jul 02 08:50:29 +0000 2020,1278611993277104128,"RT @JulieRe35166938: #Biden2020Landslide 
#Biden2020 
#Biden https://t.co/dw9YgvnuLO",0,2,755818016932188161,I think trump is the antiChrist 🌊🌊🌊,RnDavis,,"Retired RN BSN CCRN, ggrandmother.  NO DM's  #VoteBlueNoMatterWho  #Resist  #BidenHarris2020  #BLM  #TurnSCBlue #DumpTrump Married to my soulmate",6007,5791,Biden|Biden2020|Biden2020Landslide,JulieRe35166938
Thu Jul 02 08:50:45 +0000 2020,1278612060708970496,"RT @GeorgeTakei: Trump is handling the Russian bounties on U.S. soldiers the same way he “handled” the pandemic: a period of denial, then s…",0,2229,274190866,shaun mustoe,mustoe62,,,293,13,,GeorgeTakei
Thu Jul 02 08:51:56 +0000 2020,1278612361008615424,"RT @olgaNYC1211: Putin was offering $100,000 for every dead American. We cannot let this story disappear. Republicans must give us answers…",0,2557,819302849385558017,Yuri Ito,YuriIto5,"Lee's Summit, MO","Librarian, Musician, Clergy Spouse",2164,172,,OlgaNYC1211
Thu Jul 02 10:50:06 +0000 2020,1278642094844887042,RT @DineshDSouza: Evidently her employer didn’t want to have a person around who threatened to stab Trump supporters that disagreed with he…,0,6548,630423699,Barbara A. Mattera,bmatts212,,,715,1736,,DineshDSouza
Thu Jul 02 10:50:58 +0000 2020,1278642315519762434,Why Is Trump Tanking in the Polls? - The Atlantic https://t.co/f2MCr4K8Ud,1,1,42660725,"Patricia Farrell, Ph.D.",drpatfarrell,United States,"Dr. Farrell is a psychologist, author, photographer, interested in  film, writing. Don't DM me.  https://t.co/IyU3d3tkHc",10664,9753,,
Thu Jul 02 10:51:28 +0000 2020,1278642439667044353,"RT @DailyCaller: Twitter has removed President Trump's ""They're not after me. They're after you"" meme https://t.co/dFLaYZYlK5",0,5787,3111993791,david w. thompson,dwthompson1945,South Carolina,"Conservative. Family tree from 1632 in America.  Harvard MPA.

""Nobody can make you feel inferior without your consent."" Eleanor Roosevelt. 

Don't consent.",7386,8362,,DailyCaller
Thu Jul 02 10:51:47 +0000 2020,1278642521443192832,RT @TeenyLZP: @CylantJustice @TheRealJanel @smileygurl56 @AmeriWify @pollee_s @freenaynow @AlwaysIntegrity @occulturalism @tladd58 @WaveFun…,0,10,778515525840228352,🐾🐰🕳💨 #Q #Q+++ #QAnon #WWG1WGA #Deplorables,TeenyLZP,"Arizona, USA 🌵☀️🌴🏜🦂🌵","I ❤ GOD & USA! I STAND W/ @POTUS  @realDonaldTrump #MAGA #KAG 🇺🇸 
I ❤ #Truth, #QAnonWorldWide #Qanon #WWG1WGA #QArmy #WeThePeople #DrainTheSwamp",4643,10292,,AlwaysIntegrity|AmeriWify|CylantJustice|TeenyLZP|TheRealJanel|freenaynow|occulturalism|pollee_s|smileygurl56|tladd58
