ID,Severity,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Crossing,Stop,Traffic_Signal,Sunrise_Sunset
A-102274,2,CA,US/Pacific,84.74312598294719,56.28751299970888,31.11334608202709,7.0,False,False,True,Day
A-1023455,2,NC,US/Eastern,74.0,61.0,30.08,9.0,False,False,True,Day
A-1024367,2,TX,US/Central,80.96051092192249,45.21819192834659,30.17,9.0,False,False,True,Day
A-1025276,2,CA,US/Pacific,81.80823667561188,31.71650216982458,31.59835387493319,5.0,False,False,True,Day
A-1025780,3,MN,US/Central,85.39637004740243,53.63060551787295,30.0,6.0,False,False,False,Day
A-1027302,2,NC,US/Eastern,76.0,64.0,30.14,7.0,False,False,False,Night
A-1027982,2,TX,US/Central,70.87473448137017,55.91251124508571,30.1,6.0,False,False,False,Day
A-1028715,2,CA,US/Pacific,81.70423762725838,35.283456166955084,31.68824560034892,7.0,True,False,True,Day
A-102959,2,CA,US/Pacific,70.94113147176324,42.940119748702976,31.164233276510178,8.0,False,False,False,Day
A-1030555,2,AL,US/Central,85.04677529029367,29.796095163779135,29.75,9.0,True,False,True,Day
A-1030618,2,OK,US/Central,74.38676481156071,47.1242809346488,29.91,6.0,False,True,False,Day
A-1031083,3,CA,US/Pacific,96.66195090159397,34.08001356890123,31.902283115223653,5.0,False,False,False,Day
A-1032952,2,FL,US/Eastern,69.0,29.0,29.99,8.0,False,False,False,Day
A-103449,1,CA,US/Pacific,74.03264245330016,21.020468986429353,32.20079005541529,9.0,False,True,False,Day
A-1034533,2,NY,US/Eastern,74.0,46.0,29.69,9.0,False,False,False,Night
A-1034995,2,FL,US/Eastern,88.0,35.0,30.15,7.0,False,False,False,Day
A-1035071,3,FL,US/Eastern,89.0,41.0,29.9,6.0,False,False,False,Day
A-1036908,2,PA,US/Eastern,74.0,31.0,30.01,6.0,False,False,False,Day
A-1039499,1,NY,US/Eastern,76.0,26.0,29.86,8.0,False,False,False,Day
A-1039697,3,OH,US/Eastern,93.0,49.0,30.06,7.0,False,False,False,Day
A-1040794,2,OK,US/Central,86.23209310033987,54.066938025716055,30.13,7.0,True,False,True,Day
A-1042470,2,SC,US/Eastern,79.0,60.0,29.82,9.0,False,False,False,Night
A-1042873,2,MO,US/Central,70.2064857206772,56.155799319233466,29.65,9.0,False,False,True,Day
A-1043726,3,CA,US/Pacific,89.43128339884497,57.16469856972141,31.736757765478597,5.0,False,False,False,Day
A-1044236,2,NC,US/Eastern,78.0,30.0,30.24,8.0,False,False,True,Day
A-1044300,2,FL,US/Eastern,70.0,36.0,29.99,6.0,False,False,True,Day
A-1044851,3,RI,US/Eastern,84.0,68.0,29.83,6.0,False,False,True,Day
A-104545,3,CA,US/Pacific,85.061552104347,41.582436352425944,31.74894097696899,6.0,False,False,False,Day
A-1046156,3,FL,US/Eastern,73.0,26.0,29.77,5.0,False,False,False,Day
A-1047363,3,CA,US/Pacific,103.81217150781575,52.33368569499572,31.84163034301034,7.0,False,False,False,Day
A-1047595,2,NY,US/Eastern,82.0,59.0,30.29,7.0,False,False,False,Day
A-1047749,3,KY,US/Eastern,91.0,73.0,30.09,6.0,False,False,False,Day
A-1048219,2,GA,US/Eastern,76.0,42.0,30.51,7.0,False,False,False,Day
A-1048558,2,MO,US/Central,71.66460499292526,23.803903476179645,29.88,9.0,False,False,False,Day
A-1049295,3,CA,US/Pacific,95.91874250121046,65.07256013579533,31.026896283471892,6.0,False,False,True,Day
A-1049906,2,NC,US/Eastern,74.0,36.0,30.07,6.0,False,False,False,Night
A-1051040,2,TX,US/Central,89.54446212468225,47.314382663063235,29.83,8.0,False,False,True,Day
A-105110,3,CA,US/Pacific,96.54405322968302,68.80052368282242,31.538775523190303,5.0,False,False,False,Day
A-1051609,2,CA,US/Pacific,87.92767226252249,55.3866529520378,31.887719782242552,7.0,False,False,False,Day
A-1052539,2,FL,US/Eastern,80.0,43.0,29.65,9.0,False,False,False,Day
A-1052783,3,MO,US/Central,86.12033278344131,66.91753744601849,29.83,6.0,False,False,False,Day
A-1052831,2,NE,US/Central,81.43012521916904,32.37618973055836,30.14,7.0,False,False,True,Day
A-1053001,2,OK,US/Central,94.0725313890762,40.77513143954754,30.03,8.0,True,False,True,Day
A-1053624,3,CA,US/Pacific,89.32040206374346,62.3210389761574,31.85670662307416,5.0,False,False,False,Day
A-1055258,3,AL,US/Central,91.01648485174691,54.59646274636227,29.91,7.0,False,False,False,Day
A-1055463,3,CO,US/Mountain,87.49324128589603,73.0,34.91521565400871,8.0,False,False,False,Day
A-1055576,2,WA,US/Pacific,78.68978445761795,29.800361228510383,31.805545127969765,7.0,True,True,True,Day
A-1056828,3,FL,US/Eastern,97.0,71.0,30.08,4.0,False,False,False,Day
A-105864,3,CA,US/Pacific,93.10646115901837,52.999720202017905,31.785886341647554,5.0,False,False,False,Day
A-1058651,2,OK,US/Central,74.60764534335564,60.02737097417336,30.16,6.0,False,False,False,Night
A-1059616,3,IN,US/Eastern,92.0,52.0,29.99,3.0,False,False,False,Day
A-1060297,2,SC,US/Eastern,72.0,46.0,30.42,10.0,False,False,False,Day
A-1060300,2,SC,US/Eastern,76.0,31.0,30.27,8.0,False,False,False,Day
A-106060,2,CA,US/Pacific,94.44113929402901,52.68761861821199,31.155808452677256,9.0,False,False,False,Day
A-106090,2,CA,US/Pacific,76.05466362769003,40.84129985971758,31.807659086561753,10.0,False,False,False,Night
A-1062313,3,SC,US/Eastern,88.0,52.0,30.21,7.0,False,False,False,Night
A-1062806,2,LA,US/Central,86.0071261607973,38.825011972740576,29.75,8.0,False,False,False,Day
A-1062944,2,LA,US/Central,79.38652840425036,41.71947445791397,30.18,8.0,False,False,False,Day
A-1063382,2,AZ,US/Mountain,71.5431441677023,59.0,35.18872433606272,9.0,False,False,False,Day
A-106500,2,CA,US/Pacific,81.87957036895736,53.62675887768333,31.33652823515619,9.0,False,False,False,Day
A-1065166,3,MN,US/Central,93.19852773350541,48.07554266179345,29.75,4.0,False,False,False,Day
A-1065610,3,TX,US/Central,85.03187489307604,35.903975929703975,29.97,8.0,False,False,False,Day
A-1065695,3,AL,US/Central,87.95271760243399,35.745739489665816,30.01,6.0,False,False,False,Day
A-1066976,2,NC,US/Eastern,83.0,38.0,29.67,6.0,False,False,True,Day
A-1067470,2,SC,US/Eastern,84.0,67.0,30.06,9.0,False,False,False,Day
A-1067500,3,GA,US/Eastern,95.0,53.0,30.0,4.0,False,False,False,Day
A-1067573,4,GA,US/Eastern,91.0,66.0,30.92,3.0,False,False,False,Day
A-1067851,3,TX,US/Central,88.96748427495167,36.48391875692796,30.15,5.0,False,False,False,Day
A-1068751,3,CA,US/Pacific,94.65562340106109,36.98723926429953,31.729199171806084,4.0,False,False,False,Day
A-1069063,3,GA,US/Eastern,83.0,51.0,29.99,6.0,False,False,False,Day
A-1069222,3,TX,US/Central,96.31561378816919,72.30408707420327,29.76,7.0,False,False,False,Day
A-1069742,3,PA,US/Eastern,99.0,56.0,30.0,7.0,False,False,False,Day
A-1070136,2,CA,US/Pacific,74.37172723106747,35.96214573339115,31.074214738989664,7.0,False,False,False,Day
A-1070603,2,OH,US/Eastern,84.0,68.0,30.12,7.0,False,False,False,Day
A-1070834,2,NC,US/Eastern,75.0,36.0,30.22,9.0,True,False,True,Day
A-1072064,2,CA,US/Pacific,78.75789658596477,47.947749509952395,31.573941361260975,8.0,False,True,False,Day
A-1072540,2,NY,US/Eastern,85.0,43.0,30.24,7.0,False,False,True,Day
A-1073015,3,FL,US/Eastern,89.0,40.0,30.1,6.0,False,False,False,Night
A-1073110,3,FL,US/Eastern,92.0,65.0,30.11,6.0,False,False,False,Day
A-1073980,3,TN,US/Central,88.22531723901028,51.52282254694141,29.68,7.0,False,False,False,Day
A-1074272,2,NV,US/Pacific,76.53629785125734,39.923767883226176,31.11904655048995,8.0,False,False,False,Day
A-107445,3,CA,US/Pacific,86.07572950158745,41.94196664707613,32.01376206313091,5.0,False,False,False,Day
A-1075633,3,SC,US/Eastern,93.0,48.0,29.84,4.0,False,False,False,Day
A-1076688,2,CA,US/Pacific,77.31542655994045,45.83449836295014,31.47402135122074,7.0,False,False,False,Day
A-1077001,2,MI,US/Eastern,83.0,56.0,29.42,7.0,False,False,True,Night
A-1077698,3,FL,US/Eastern,98.0,48.0,29.76,4.0,False,False,False,Night
A-1078247,2,TX,US/Central,78.16279830639675,24.99561608693881,30.2,8.0,False,False,False,Day
A-1078521,2,AL,US/Central,83.79575377086805,60.37963535054381,30.01,8.0,False,False,False,Day
A-108008,3,CA,US/Pacific,88.01021705519499,47.650165703636475,31.68577243950662,5.0,False,False,False,Day
A-1083409,3,VA,US/Eastern,85.0,35.0,30.03,7.0,False,False,False,Night
A-1083522,2,FL,US/Eastern,80.0,35.0,29.98,8.0,False,False,False,Night
A-1083923,2,MO,US/Central,91.84915598540906,55.042958598243885,30.07,8.0,False,False,False,Day
A-1084113,2,OK,US/Central,77.09200359543767,27.74035108336857,29.97,6.0,True,False,True,Day
A-1085655,3,NC,US/Eastern,95.0,51.0,30.22,4.0,False,False,False,Day
A-1086307,3,MN,US/Central,89.49088085805604,38.1151174778912,29.9,5.0,False,False,False,Day
A-1087474,2,CA,US/Pacific,83.95551228898387,57.01321503989469,30.75962040809018,7.0,True,False,False,Day
A-1088397,3,NY,US/Eastern,92.0,60.0,30.08,4.0,False,False,False,Night
A-1088604,3,MD,US/Eastern,84.0,43.0,29.87,8.0,False,False,False,Day
A-108881,3,CA,US/Pacific,89.73480565870149,48.93840757329418,32.001152946676456,7.0,False,False,False,Day
A-1090394,3,CA,US/Pacific,86.45182450799126,47.52415416581774,31.79514215558785,4.0,False,False,False,Day
A-1091024,3,NY,US/Eastern,81.0,51.0,30.09,5.0,False,False,False,Day
A-109259,2,CA,US/Pacific,95.61949706445088,40.44336952210887,31.257086692221055,7.0,False,False,False,Day
A-1093255,2,WA,US/Pacific,70.00899520073584,53.71582782209979,31.858643622494316,6.0,False,False,False,Day
A-1093959,3,GA,US/Eastern,78.0,59.0,30.15,5.0,False,False,False,Day
A-1094595,2,KY,US/Eastern,75.0,57.0,30.53,7.0,False,False,False,Day
A-1094874,3,CA,US/Pacific,87.02582909026383,50.34461979607451,31.341691481335108,6.0,False,False,False,Day
A-1096039,3,FL,US/Eastern,90.0,37.0,29.8,6.0,False,False,False,Night
A-1096451,2,TX,US/Central,86.94318064928827,44.8927144030799,30.09,8.0,False,False,False,Night
A-1099779,3,OR,US/Pacific,87.34592676808535,32.80718546482831,31.24304805617042,4.0,False,False,False,Day
A-1100374,1,MI,US/Eastern,78.0,62.0,29.8,9.0,False,False,False,Day
A-1100663,3,PA,US/Eastern,89.0,41.0,29.91,6.0,False,False,False,Day
A-1101911,2,OK,US/Central,78.35692022685546,36.83476323660513,30.11,9.0,True,False,True,Day
A-1102668,2,CA,US/Pacific,81.8152505104527,45.48980619660692,31.251990193552974,8.0,False,False,False,Day
A-110270,1,CA,US/Pacific,85.23750596766295,52.01631768317968,31.017202817784938,8.0,False,True,False,Day
A-110303,1,CA,US/Pacific,83.91298871875763,36.767809536456184,31.051583918522226,9.0,False,False,False,Day
A-1103097,2,NY,US/Eastern,88.0,58.0,30.3,5.0,False,False,False,Day
A-1103333,3,MD,US/Eastern,90.0,63.0,29.96,7.0,False,False,False,Night
A-1103981,2,SC,US/Eastern,85.0,49.0,29.92,8.0,False,False,False,Day
A-1104013,3,SC,US/Eastern,88.0,39.0,29.91,4.0,False,False,False,Night
A-1104034,3,GA,US/Eastern,88.0,34.0,29.98,6.0,False,False,False,Night
A-110589,3,CA,US/Pacific,90.07411166530144,53.83551577824864,31.67357725665997,6.0,False,False,False,Day
A-1106042,2,PA,US/Eastern,69.0,28.0,29.9,8.0,False,False,True,Day
A-1107492,2,TX,US/Central,93.72948705199593,33.03786750611043,30.12,8.0,False,False,False,Day
A-1107840,3,CA,US/Pacific,89.97766629705583,43.197511184291116,31.638474087546875,6.0,False,False,False,Day
A-1108525,3,IL,US/Central,90.57130046136086,59.45388388190177,30.05,5.0,False,False,False,Night
A-110901,3,CA,US/Pacific,82.60514207534746,37.54554243289446,31.793570553455996,6.0,False,False,False,Day
A-1109102,3,FL,US/Eastern,92.0,70.0,29.83,6.0,False,False,False,Day
A-1109154,3,MO,US/Central,89.09583320458114,48.136225251665586,29.89,6.0,False,False,False,Night
A-1111729,2,CO,US/Mountain,71.69369962105793,41.0,35.6689971148179,7.0,True,False,True,Day
A-1111736,3,CO,US/Mountain,78.87293745761434,64.0,34.823227689981316,5.0,False,False,False,Night
A-1112911,2,OH,US/Eastern,86.0,39.0,30.23,6.0,True,False,True,Day
A-1113790,3,WI,US/Central,93.17405209063931,71.85891740633222,30.06,6.0,False,False,False,Day
A-111422,3,CA,US/Pacific,89.92474569877884,37.40685449919566,30.990724692650012,6.0,False,False,False,Day
A-1114885,2,CA,US/Pacific,82.06956012982407,28.117995769564928,31.860001940466862,8.0,False,False,False,Night
A-1116812,3,OK,US/Central,90.0914671200083,39.123501095540185,29.85,6.0,False,False,False,Day
A-1117285,3,CO,US/Mountain,92.04423651778872,47.0,34.55316350731184,5.0,False,False,False,Day
A-1118003,3,MI,US/Eastern,84.0,37.0,30.03,5.0,False,False,False,Day
A-1119572,3,TX,US/Central,86.72137574058118,62.52561976803381,30.18,5.0,False,False,False,Night
A-1120198,2,CA,US/Pacific,87.1221004221198,47.941803560067925,31.461376131816472,8.0,False,False,True,Night
A-112066,2,CA,US/Pacific,62.20480666241088,17.982456135989597,32.02243914486083,9.0,False,False,False,Night
A-1120742,2,RI,US/Eastern,82.0,40.0,30.21,7.0,False,False,False,Day
A-1121526,2,GA,US/Eastern,85.0,44.0,30.0,10.0,False,False,False,Day
A-112158,2,CA,US/Pacific,87.1776067833579,53.67858740822302,30.797544909417578,7.0,False,False,False,Day
A-1122446,2,TX,US/Central,82.09117063213348,39.23488680756053,29.98,7.0,False,False,True,Night
A-112279,3,CA,US/Pacific,86.3892086288368,39.865953021125684,32.03557911768961,6.0,False,False,False,Day
A-1122961,2,CA,US/Pacific,81.9025415872328,29.75597185749297,32.130185613812046,7.0,False,False,False,Night
A-1123142,2,CA,US/Pacific,89.4058625030657,48.761083613758984,31.020099260186903,8.0,False,False,False,Night
A-1123170,2,NY,US/Eastern,82.0,62.0,29.66,8.0,False,False,False,Day
A-1123289,3,VA,US/Eastern,82.0,40.0,30.02,6.0,False,False,False,Day
A-1123550,2,TX,US/Central,76.11552403090447,54.96567024964087,29.83,10.0,False,False,True,Day
A-1123873,3,CA,US/Pacific,98.75384389214065,58.8137395811464,31.485867983728784,5.0,False,False,False,Day
A-1124219,2,KS,US/Central,84.26910649539155,39.38321820994213,29.82,9.0,False,False,False,Night
A-1126300,3,CO,US/Mountain,88.5745862357427,64.0,34.61004906658095,5.0,False,False,False,Night
A-112676,3,CA,US/Pacific,83.98473506799024,32.20969460763725,31.35215420985797,5.0,False,False,True,Night
A-1128171,2,OK,US/Central,77.70834451575675,52.97448805468568,29.99,7.0,False,False,False,Night
A-1128493,2,TX,US/Central,89.53141536457316,66.20368944457965,30.33,9.0,False,False,False,Day
A-1128739,2,OR,US/Pacific,86.53032577475952,34.81650541088246,31.46539259030035,7.0,False,False,True,Day
A-1128985,3,CA,US/Pacific,95.14240891285037,50.69136700851772,31.89130852814727,4.0,False,False,False,Day
A-1129712,3,OH,US/Eastern,90.0,72.0,29.98,5.0,False,False,False,Day
A-1131053,3,AL,US/Central,95.59233940897906,72.47812916874824,29.91,7.0,False,False,False,Day
A-1131336,2,AZ,US/Mountain,75.36779364551096,37.0,35.41380941916678,7.0,False,False,False,Day
A-1131706,3,CA,US/Pacific,95.65410058986411,49.92308693550523,31.00787627783115,6.0,False,False,False,Day
A-113277,2,CA,US/Pacific,85.91971295312148,59.499427883077665,31.440076454253678,7.0,False,False,False,Day
A-1132848,2,SC,US/Eastern,70.0,30.0,30.2,6.0,False,False,False,Day
A-1133027,2,WI,US/Central,84.0871276882427,49.91463450434625,29.95,9.0,False,False,False,Day
A-1133503,2,TN,US/Central,85.84466868638586,58.40507409176309,30.01,8.0,False,False,True,Day
A-1134574,3,CT,US/Eastern,94.0,61.0,29.96,5.0,False,False,False,Day
A-1136818,2,NJ,US/Eastern,74.0,29.0,30.12,8.0,False,False,False,Night
A-1138092,3,NY,US/Eastern,85.0,53.0,29.98,6.0,False,False,False,Day
A-1138125,2,PA,US/Eastern,82.0,64.0,29.91,6.0,False,False,False,Night
A-113835,3,CA,US/Pacific,92.36431174120646,55.499256730464964,31.311671498365676,6.0,False,False,False,Day
A-1139112,2,OK,US/Central,82.83618047557681,64.4746061562645,30.14,6.0,True,False,True,Day
A-1139152,3,LA,US/Central,86.79637894849273,49.63153615337028,30.09,6.0,False,False,False,Day
A-1139337,2,TX,US/Central,80.62639621933509,37.06643935903017,30.0,8.0,False,False,False,Night
A-113988,3,CA,US/Pacific,100.44970628977389,45.59385173663254,31.871066271255792,5.0,False,False,False,Day
A-1140272,2,OH,US/Eastern,97.0,58.0,30.19,7.0,False,False,False,Night
A-1141189,3,MN,US/Central,91.65022742681158,49.4926784525268,29.9,5.0,False,False,False,Day
A-1141424,2,TX,US/Central,75.06750066960205,41.42594436394902,30.33,7.0,False,False,True,Day
A-11427,2,CA,US/Pacific,75.40011358123631,34.10144769158736,31.74335096277923,8.0,False,False,False,Day
A-1143994,2,TX,US/Central,86.9749432282186,29.293483071788152,29.82,8.0,False,False,False,Day
A-1144551,2,CO,US/Mountain,72.86871497025814,56.0,34.37589122451268,10.0,False,False,False,Day
A-1144584,3,UT,US/Mountain,92.75238417271362,42.0,34.170182174000516,6.0,False,False,False,Day
A-1144816,2,CA,US/Pacific,79.38086462657459,32.50072280106495,31.367452645176158,7.0,False,False,False,Day
A-114729,3,CA,US/Pacific,91.88342254916769,39.16825253674659,31.151331900698526,6.0,False,False,False,Night
A-1149649,2,AL,US/Central,73.2240986717823,49.30553000521992,29.49,7.0,False,False,False,Night
A-1150192,3,CA,US/Pacific,95.48302278057689,53.13038417923607,31.994306863944395,5.0,False,False,False,Day
A-1151860,2,OK,US/Central,83.60991502522424,60.02588188765876,29.95,9.0,False,False,False,Night
A-1152179,2,TX,US/Central,94.07291678350553,71.1183592966799,29.68,8.0,False,False,False,Day
A-1152527,2,CA,US/Pacific,82.4575466807071,29.71978835768899,31.36001293392945,8.0,False,False,False,Night
A-1152725,3,CA,US/Pacific,104.81964637457318,77.20053239440742,31.18637896024493,6.0,False,False,False,Day
A-1153122,3,TX,US/Central,86.61449882296544,68.87864149924977,29.94,8.0,False,False,False,Day
A-1153201,3,CO,US/Mountain,96.93429627620175,57.0,36.03832844017836,6.0,False,False,False,Day
A-1153840,3,SC,US/Eastern,85.0,50.0,30.01,5.0,False,False,False,Day
A-1154694,3,NY,US/Eastern,87.0,38.0,29.93,6.0,False,False,False,Day
A-1155722,3,IL,US/Central,87.16029986691915,37.76616277658686,30.15,7.0,False,False,False,Day
A-1156560,3,CA,US/Pacific,98.67916208041478,56.04832216462955,31.65680030282938,4.0,False,False,False,Night
A-1156827,2,CA,US/Pacific,79.00279040175984,24.036705982152117,31.767188562999976,7.0,False,False,False,Day
A-1157310,3,IN,US/Eastern,90.0,48.0,29.9,4.0,False,False,False,Day
A-1158193,3,IL,US/Central,86.57466072530079,28.87001635670631,29.78,5.0,False,False,False,Night
A-1158206,2,TX,US/Central,82.76296687506984,26.683006067231602,30.17,7.0,False,False,False,Day
A-1159889,3,NC,US/Eastern,89.0,64.0,29.93,4.0,False,False,False,Day
A-1161270,2,OR,US/Pacific,87.96174805334958,65.86463577888074,32.06162809049142,8.0,False,False,False,Night
A-1161592,2,CA,US/Pacific,67.5960313385999,44.72532588672575,31.329816119531788,8.0,False,False,False,Day
A-1162973,2,IL,US/Central,87.44228210139785,54.96342476416063,29.74,7.0,False,False,False,Day
A-1163020,2,TX,US/Central,82.10237493925622,66.25774154603432,29.64,7.0,False,False,False,Night
A-1163680,2,WA,US/Pacific,80.77344822228763,40.59445790545646,31.43955376712513,5.0,False,False,True,Night
A-1164633,2,NC,US/Eastern,81.0,30.0,30.19,7.0,True,False,True,Day
A-1165690,3,LA,US/Central,89.8106626322604,51.1833145376643,30.03,5.0,False,False,False,Day
A-1165906,2,AZ,US/Mountain,76.41652427666287,61.0,35.265702316765555,8.0,False,False,False,Day
A-1167250,2,MD,US/Eastern,89.0,39.0,30.07,7.0,False,False,False,Day
A-1168734,2,SC,US/Eastern,81.0,63.0,30.06,6.0,False,False,False,Day
A-1168807,3,MN,US/Central,93.19197380786977,34.67325546012968,29.95,6.0,False,False,False,Night
A-1170147,2,NY,US/Eastern,78.0,30.0,30.08,7.0,False,False,True,Day
A-1172182,3,AZ,US/Mountain,80.7762962696696,38.0,35.234475153886166,5.0,False,False,False,Day
A-1174016,3,GA,US/Eastern,92.0,58.0,30.11,6.0,False,False,False,Day
A-1174306,2,TX,US/Central,77.90327776019949,53.48025853278416,30.08,9.0,False,False,False,Night
A-117489,2,FL,US/Eastern,86.0,43.0,29.71,6.0,False,False,True,Day
A-1175016,3,NM,US/Mountain,87.39646456412646,63.0,34.328683882715126,5.0,False,False,False,Day
A-1175669,2,MI,US/Eastern,76.0,62.0,29.83,8.0,False,False,False,Day
A-117587,3,FL,US/Eastern,92.0,67.0,30.01,7.0,False,False,False,Night
A-1175914,3,PA,US/Eastern,86.0,70.0,30.16,7.0,False,False,False,Night
A-117619,2,FL,US/Eastern,85.0,35.0,29.84,5.0,True,False,True,Day
A-1177054,3,TX,US/Central,86.9281369766794,44.145211971778934,29.76,5.0,False,False,False,Day
A-1178113,2,MI,US/Eastern,89.0,65.0,30.11,6.0,False,False,False,Day
A-1178511,2,OH,US/Eastern,74.0,41.0,29.98,6.0,False,False,True,Day
A-1178587,3,SC,US/Eastern,90.0,42.0,29.91,5.0,False,False,False,Day
A-1180420,2,MI,US/Eastern,83.0,32.0,30.22,7.0,True,False,True,Day
A-1181567,3,FL,US/Eastern,85.0,55.0,30.05,5.0,False,False,False,Night
A-1182582,2,NC,US/Eastern,82.0,32.0,29.98,7.0,False,False,False,Day
A-1183253,2,OK,US/Central,84.97687082845916,37.19216441483157,30.09,8.0,True,False,True,Night
A-1183404,3,TN,US/Central,82.87927566417655,34.36361943407376,30.06,5.0,False,False,False,Day
A-1184779,3,NC,US/Eastern,96.0,69.0,30.04,5.0,False,False,False,Night
A-1188309,2,WI,US/Central,75.64801504593652,27.272688682623418,30.0,6.0,False,False,True,Day
A-1188339,2,WI,US/Central,77.67179866608427,47.17788517319487,29.74,9.0,False,False,False,Day
A-1191259,2,IL,US/Central,77.94997911885034,61.145816980700396,30.11,8.0,False,False,False,Night
A-1191597,2,LA,US/Central,83.07740398470327,35.1303197959727,30.3,9.0,False,False,False,Night
A-1192957,3,NY,US/Eastern,86.0,58.0,29.83,5.0,False,False,False,Night
A-1192968,3,NJ,US/Eastern,89.0,49.0,30.02,4.0,False,False,False,Night
A-1195207,2,CA,US/Pacific,73.61049222598503,27.402332295370414,31.36107295623807,7.0,False,False,True,Day
A-1196142,3,FL,US/Eastern,88.0,39.0,30.04,5.0,False,False,False,Night
A-1196375,3,WA,US/Pacific,86.67195159261361,62.489343942751134,31.925957048432412,5.0,False,False,False,Day
A-1196454,2,CA,US/Pacific,86.83167779669358,49.514848256466514,31.466898733709048,6.0,False,False,False,Night
A-1197570,3,GA,US/Eastern,94.0,60.0,29.86,6.0,False,False,False,Day
A-1199831,3,NC,US/Eastern,92.0,44.0,30.05,7.0,False,False,False,Night
A-1200332,2,SC,US/Eastern,83.0,32.0,29.93,8.0,False,False,False,Day
A-1203323,2,TX,US/Central,87.35735190182218,31.532695582017435,29.6,8.0,False,False,True,Day
A-120409,2,FL,US/Eastern,80.0,31.0,29.98,6.0,False,False,False,Day
A-1206049,3,MS,US/Central,82.36033406240881,42.1602889649962,29.93,6.0,False,False,False,Day
A-120642,3,FL,US/Eastern,93.0,46.0,29.92,5.0,False,False,False,Night
A-1207354,3,GA,US/Eastern,77.0,31.0,30.09,5.0,False,False,False,Day
A-1207421,3,FL,US/Eastern,84.0,51.0,29.97,5.0,False,False,False,Night
A-1208772,2,PA,US/Eastern,69.0,56.0,29.81,7.0,False,False,False,Day
A-1209274,2,VA,US/Eastern,66.0,28.0,29.71,5.0,False,False,False,Day
A-1210357,2,MS,US/Central,80.88520565061044,43.64399291745526,29.89,7.0,False,False,True,Day
